RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_DWELL_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_RUN_DWELL_TIME,IA_FIRST_RUN_FIXATION_COUNT,IA_REGRESSION_PATH_DURATION,IA_SKIP,BUTTON_ACCURACY,Trial_Index_,cond_name,indexofia,length_pre,target_matras,practice,stim_num,target_length,TRIAL_DWELL_TIME,IA_ID
P1A,5,1059,163,1059,3,1059,1,-1,5,TL,5,4,1,No,45,4,5512,5
P1A,6,1724,446,1142,3,1142,0,-1,6,RL,5,5,2,No,75,5,4059,5
P1A,7,1634,463,1634,5,1634,0,-1,7,RH,4,6,1,No,58,6,3013,4
P1A,8,2404,577,2404,8,2404,0,-1,8,RL,4,6,2,No,67,6,6783,4
P1A,9,940,192,432,2,432,0,-1,9,RH,6,4,2,No,74,4,3555,6
P1A,10,1479,267,899,3,899,0,-1,10,RL,5,6,2,No,39,6,4711,5
P1A,11,583,276,276,1,900,0,-1,11,RL,9,6,2,No,47,6,4331,9
P1A,12,244,244,244,1,244,0,-1,12,TL,4,4,2,No,1,4,2994,4
P1A,13,1043,244,1043,3,1043,0,-1,13,TL,6,4,2,No,77,4,5260,6
P1A,14,472,182,182,1,182,0,-1,14,RH,5,6,2,No,14,6,2898,5
P1A,15,761,269,269,1,1135,0,1,15,TH,6,4,1,No,56,4,4500,6
P1A,16,787,145,386,2,386,0,-1,16,RH,4,5,2,No,78,5,4184,4
P1A,17,1421,310,310,1,1429,0,-1,17,TL,6,5,2,No,49,5,6083,6
P1A,18,912,598,912,2,912,0,-1,18,TL,7,3,1,No,65,3,4307,7
P1A,19,470,470,470,1,844,0,-1,19,RL,4,4,1,No,79,4,4545,4
P1A,20,504,338,504,2,504,0,-1,20,RH,7,6,1,No,62,6,3288,7
P1A,21,308,308,308,1,308,0,-1,21,TL,6,3,1,No,33,3,5097,6
P1A,22,1910,257,893,2,893,0,1,22,TH,6,4,1,No,48,4,5676,6
P1A,23,1152,162,1152,4,1152,0,-1,23,TL,8,5,2,No,29,5,7233,8
P1A,24,768,184,768,3,768,0,-1,24,RL,6,6,2,No,19,6,4707,6
P1A,25,1486,326,1486,4,1486,0,1,25,TH,7,4,1,No,28,4,6118,7
P1A,26,0,NA,NA,NA,NA,1,-1,26,TL,5,4,2,No,41,4,3681,5
P1A,27,448,296,296,1,296,0,-1,27,RL,4,5,2,No,3,5,3364,4
P1A,28,0,NA,NA,NA,NA,1,-1,28,RL,4,5,2,No,71,5,3833,4
P1A,29,0,NA,NA,NA,NA,1,1,29,TH,7,4,2,No,72,4,5012,7
P1A,30,297,149,297,2,297,0,-1,30,RL,5,5,1,No,55,5,2702,5
P1A,31,691,302,302,1,945,0,1,31,TH,4,4,1,No,4,4,4845,4
P1A,32,693,154,693,2,693,0,-1,32,RH,5,5,1,No,26,5,3535,5
P1A,33,428,286,428,2,428,0,-1,33,RH,6,5,1,No,34,5,3321,6
P1A,34,1475,269,890,2,890,0,1,34,TH,4,4,2,No,52,4,6391,4
P1A,35,799,211,799,2,799,0,1,35,TH,4,4,1,No,36,4,4126,4
P1A,36,0,NA,NA,NA,NA,1,-1,36,RH,5,5,2,No,6,5,1910,5
P1A,37,624,315,624,3,624,0,-1,37,RL,6,6,2,No,11,6,3352,6
P1A,38,549,82,549,4,549,0,-1,38,RH,4,5,1,No,54,5,3269,4
P1A,39,335,335,335,1,335,0,-1,39,TL,8,4,1,No,5,4,4754,8
P1A,40,449,449,449,1,449,0,1,40,TH,5,3,1,No,80,3,4566,5
P1A,41,980,379,980,2,980,0,1,41,TH,6,5,2,No,24,5,4025,6
P1A,42,2974,302,558,2,558,0,-1,42,RL,4,7,2,No,15,7,8284,4
P1A,43,108,108,108,1,108,1,-1,43,RH,5,5,1,No,46,5,2564,5
P1A,44,2070,186,1296,3,1296,0,-1,44,TL,5,6,3,No,17,6,5990,5
P1A,45,147,147,147,1,147,0,-1,45,TL,6,4,2,No,73,4,4714,6
P1A,46,512,206,206,1,723,0,-1,46,RH,5,5,2,No,22,5,3331,5
P1A,47,1798,170,897,2,897,0,-1,47,TL,5,5,3,No,37,5,8175,5
P1A,48,343,206,343,2,343,0,-1,48,RH,4,6,3,No,38,6,2205,4
P1A,49,902,142,902,3,902,0,1,49,TH,5,5,2,No,12,5,6884,5
P1A,50,1674,456,1674,5,1674,0,-1,50,RH,4,7,2,No,42,7,5359,4
P1A,51,462,172,462,2,462,0,-1,51,TL,5,4,2,No,25,4,5121,5
P1A,52,522,181,522,2,522,0,-1,52,RH,4,5,2,No,2,5,2996,4
P1A,53,3005,160,160,1,2200,0,-1,53,RL,4,6,3,No,43,6,6546,4
P1A,54,1744,721,1460,3,1460,0,-1,54,TL,5,5,2,No,21,5,6787,5
P1A,55,2285,290,2285,6,2285,0,1,55,TH,4,4,1,No,8,4,5253,4
P1A,56,360,144,360,2,360,0,-1,56,RH,5,4,2,No,30,4,3102,5
P1A,57,398,262,398,2,398,1,1,57,TH,7,3,1,No,64,3,4749,7
P1A,58,828,197,197,1,197,0,-1,58,TL,5,4,1,No,69,4,6149,5
P1A,59,598,296,598,2,598,0,-1,59,RH,4,5,2,No,18,5,3312,4
P1A,60,293,293,293,1,293,0,-1,60,TL,8,4,1,No,57,4,4792,8
P1A,61,298,298,298,1,298,1,1,61,TH,4,4,1,No,44,4,4393,4
