participant,item,congruency,task,IA_LABEL,totread,fpass,spass,regpath,regin,reginc,regout,regoutc,skip,accuracy,rt,order,trial_trt
1_1,5_inc,incongruent,fact_check,Context,11802,3683,8119,11802,0,0,0,0,0,0,7874,1,17744
1_1,5_inc,incongruent,fact_check,Target,1534,1534,,1534,0,0,0,0,0,0,7874,1,17744
1_1,5_inc,incongruent,fact_check,Spillover,2106,1787,319,1787,1,1,0,0,0,0,7874,1,17744
1_1,5_inc,incongruent,fact_check,Coda,1762,198,1564,2081,0,0,1,1,0,0,7874,1,17744
1_1,3_inc,incongruent,fact_check,Context,18152,13114,685,13799,1,2,0,0,0,1,6410,1,23259
1_1,3_inc,incongruent,fact_check,Target,1966,183,1783,2485,0,0,1,1,0,1,6410,1,23259
1_1,3_inc,incongruent,fact_check,Spillover,1241,342,899,1241,0,0,0,0,0,1,6410,1,23259
1_1,3_inc,incongruent,fact_check,Coda,1090,1090,,4924,0,0,1,1,0,1,6410,1,23259
1_1,9_inc,incongruent,fact_check,Context,13136,10378,2758,10378,1,1,0,0,0,0,4284,1,16145
1_1,9_inc,incongruent,fact_check,Target,1268,1030,238,1030,0,0,0,0,0,0,4284,1,16145
1_1,9_inc,incongruent,fact_check,Spillover,1446,1019,427,1446,0,0,0,0,0,0,4284,1,16145
1_1,9_inc,incongruent,fact_check,Coda,189,189,,3185,0,0,1,1,0,0,4284,1,16145
1_1,4_cong,congruent,fact_check,Context,11027,10059,343,10059,1,3,0,0,1,1,4966,1,17339
1_1,4_cong,congruent,fact_check,Target,1442,80,179,11594,1,1,1,3,0,1,4966,1,17339
1_1,4_cong,congruent,fact_check,Spillover,1190,782,408,1657,1,1,1,1,0,1,4966,1,17339
1_1,4_cong,congruent,fact_check,Coda,3144,1230,1914,3552,0,0,1,1,0,1,4966,1,17339
1_1,7_inc,incongruent,fact_check,Context,9367,8900,140,8900,1,2,0,0,0,0,3993,1,14739
1_1,7_inc,incongruent,fact_check,Target,1681,1040,155,1774,1,2,1,2,0,0,3993,1,14739
1_1,7_inc,incongruent,fact_check,Spillover,1249,1026,223,1270,0,0,1,1,0,0,3993,1,14739
1_1,7_inc,incongruent,fact_check,Coda,988,343,307,1341,0,0,1,1,0,0,3993,1,14739
1_1,12_cong,congruent,fact_check,Context,7582,1693,3496,7062,1,2,0,0,0,1,4028,1,11612
1_1,12_cong,congruent,fact_check,Target,940,517,326,1169,1,1,1,1,0,1,4028,1,11612
1_1,12_cong,congruent,fact_check,Spillover,1376,1108,268,1473,0,0,1,1,0,1,4028,1,11612
1_1,12_cong,congruent,fact_check,Coda,1314,1314,,1508,0,0,1,1,0,1,4028,1,11612
1_1,11_inc,incongruent,fact_check,Context,6114,2031,2016,4047,1,3,0,0,0,0,5935,1,13074
1_1,11_inc,incongruent,fact_check,Target,1459,270,986,2035,0,0,1,1,0,0,5935,1,13074
1_1,11_inc,incongruent,fact_check,Spillover,1866,1471,196,1471,1,2,0,0,1,0,5935,1,13074
1_1,11_inc,incongruent,fact_check,Coda,2181,186,451,5538,0,0,1,2,0,0,5935,1,13074
1_1,1_inc,incongruent,fact_check,Context,6080,2872,595,3467,1,3,0,0,0,1,6042,1,15435
